,song_name,artist,shazam_rank
94, Boyfriend , Ariana Grande & Social House ,95
95," My Family (From ""The Addams Family"") "," Migos, KAROL G, Snoop Dogg & Rock Mafia ",96
96, Remember You Young , Thomas Rhett ,97
97, Don’t Call Me Angel (Charlie’s Angels) , Ariana Grande & Miley Cyrus & Lana Del Rey ,98
98, Home , Solomon Grey ,99
99, Every Little Thing , Russell Dickerson ,100
100, Camelot , NLE Choppa ,101
101, No Me Conoce (Remix) ," Jhay Cortez, J. Balvin & Bad Bunny ",102
102, Toes , DaBaby Feat. Lil Baby & Moneybagg Yo ,103
103, Sucker , Jonas Brothers ,104
104, I Wish Grandpas Never Died , Riley Green ,105
105, Otro Trago , Sech Feat. Darell ,106
106, Speechless , Dan + Shay ,107
107, Heartache Medication , Jon Pardi ,108
108, Without Me , Halsey ,109
109, Behind Barz (Bonus) , Drake ,110
110, Sunflower (Spider-Man: Into The Spider-Verse) , Post Malone & Swae Lee ,111
111, Callaita , Bad Bunny & Tainy ,112
112, F.N , Lil Tjay ,113
113, Won't Be Late , Swae Lee Feat. Drake ,114
114, Hell Right , Blake Shelton Feat. Trace Adkins ,115
115, INTRO , DaBaby ,116
116, Les Fleurs , Minnie Riperton ,117
117, Gold Roses , Rick Ross Feat. Drake ,118
118, Shameless , Camila Cabello ,119
119, The Wave , Colouring ,120
120, Drogba (Joanna) , Afro B ,121
121, Beige , Yoke Lore ,122
122, 16 , Highly Suspect ,123
123, Hair Down , SiR Feat. Kendrick Lamar ,124
124, How You Want It? , Teyana Taylor Feat. King Combs ,125
125, Tip Of My Tongue , Kenny Chesney ,126
126, White Room , Cream ,127
127, You Need To Calm Down , Taylor Swift ,128
128, What If I Never Get Over You , Lady Antebellum ,129
129, Rescue , Lauren Daigle ,130
130, The Hype , Twenty One Pilots ,131
131, Who Do U Love? , MONSTA X Feat. French Montana ,132
132, Middle Child , J. Cole ,133
133, Dissolve , Absofacto ,134
134, all the good girls go to hell , Billie Eilish ,135
135, Bop , DaBaby ,136
136, Bitter Love , Pia MIA ,137
137, Best Part , H.E.R. Feat. Daniel Caesar ,138
138, Be Alright , Dean Lewis ,139
139, Ye , Burna Boy ,140
140," Rock And Roll, Part 2 ", Gary Glitter ,141
141, Let Me Know , Juice WRLD ,142
142, U Say , The Bonfyre Feat. 6LACK ,143
143, Otro Trago (Remix) , Sech & Ozuna & Anuel AA Feat. Darell &  Nicky Jam ,144
144, VIBEZ , DaBaby ,145
145, Wow. , Post Malone ,146
146, BIG , Young M.A ,147
147, Come Thru , Summer Walker & Usher ,148
148, when the party's over , Billie Eilish ,149
149, Pure Water , Mustard & Migos ,150
150, Going Bad , Meek Mill Feat. Drake ,151
151, Love You Too Late , Cole Swindell ,152
152, Valentino , 24kgoldn ,153
153, Look Back At It , A Boogie Wit Da Hoodie ,154
154, Panini (DaBaby Remix) , Lil Nas X & DaBaby ,155
155, Social Cues , Cage The Elephant ,156
156, All Dat , Moneybagg Yo & Megan Thee Stallion ,157
157, Si Supieras , Daddy Yankee & Wisin & Yandel ,158
158, Living , Dierks Bentley ,159
159, Me La Avente , Carin Leon ,160
160, Big Booty , Gucci Mane Feat. Megan Thee Stallion ,161
161, Les Fleurs , Minnie Riperton ,162
162, Whiskey Glasses , Morgan Wallen ,163
163, Youngblood , 5 Seconds Of Summer ,164
164, Good Vibes , Chris Janson ,165
165, Mood Swings , A Boogie Wit Da Hoodie ,166
166, Waves , Dean Lewis ,167
167, Better , Khalid ,168
168, If I Can't Have You , Shawn Mendes ,169
169, Perfect , Ed Sheeran ,170
170, Old Town Road , Lil Nas X ,171
171, Water On Water On Water , Young Dolph & Key Glock ,172
172, Eastside ," Benny Blanco, Halsey & Khalid ",173
173, Can We Pretend , P!nk Feat. Cash Cash ,174
174, Adicto ," Tainy, Anuel AA & Ozuna ",175
175, Qué Pretendes , J Balvin & Bad Bunny ,176
176, Amor A Primera Vista ," Los Ángeles Azules, Belinda & Lalo Ebratt Feat. Horacio Palencia ",177
177, Scars To Your Beautiful , Alessia Cara ,178
178, House Arrest Tingz , YoungBoy Never Broke Again ,179
179, Choosy , Fabolous Feat. Jeremih & Davido ,180
180, La Mejor Versión De Mi (Remix) , Natti Natasha & Romeo Santos ,181
181, Cringe , Matt Maeson ,182
182, High Hopes , Panic! At The Disco ,183
183, Ride , YK Osiris Feat. Kehlani ,184
184, Tennessee Whiskey , Chris Stapleton ,185
185, Make It Better , Anderson .Paak Feat. Smokey Robinson ,186
186, Toast , Koffee ,187
187, War Pigs , Black Sabbath ,188
188, 11 Pm , Maluma ,189
189, All Night Long , YFN Lucci Feat. Trey Songz ,190
190, What You Did , Mahalia Feat. Ella Mai ,191
191, Shallow , Lady Gaga & Bradley Cooper ,192
192, Self Control , YoungBoy Never Broke Again ,193
193, Steady Love , India.Arie ,194
194, Happier , Marshmello & Bastille ,195
195, Under The Sun ," Dreamville, J. Cole & Lute Feat. DaBaby ",196
196, Piece Of Your Heart , Meduza Feat. Goodboys ,197
197, SICKO MODE , Travis Scott ,198
198, Sweet But Psycho , Ava Max ,199
199, Maayaa , Juls Feat. Tiggs Da Author & Santi ,200
